20 19
2.84573 1 258.823
5.60233 1 116.464
7.76241 0 204.109
12.2721 0 226.827
16.8239 1 278.799
19.0409 0 179.173
20.9829 1 254.52
24.0362 0 225.744
25.1556 1 229.537
26.962 1 286.938
31.1396 0 78.3277
34.7169 0 126.917
39.3472 1 114.458
42.5385 0 184.585
45.2378 0 288.544
46.4629 0 139.783
47.8215 0 134.369
51.9079 1 34.9351
54.9745 0 26.2528
57.8898 0 185.864
60.2551 0 7.8595
63.5639 1 194.239
65.0242 1 239.775
68.9325 0 203.077
73.5847 1 31.6007
74.9251 0 78.461
76.4832 0 18.8563
80.3545 1 158.506
83.4271 1 82.243
87.3293 1 225.066
92.0683 0 277.149
95.2644 1 267.472
98.5543 1 176.343
100.068 1 27.7149
103.722 1 32.8867
106.229 1 132.133
107.597 0 61.9887
109.459 0 37.3779
113.765 0 92.3286
117.338 1 226.968
121.673 0 143.578
124.241 1 207.566
126.181 0 253.542
129.346 0 211.49
133.412 1 191.12
137.585 0 160.118
139.187 1 143.534
144.002 1 43.4474
148.99 0 193.208
150.471 1 199.481
154.422 1 31.2141
156.847 1 280.266
160.9 0 49.0423
163.866 0 93.3982
167.93 0 200.121
171.925 1 194.11
176.375 1 24.826
178.47 1 162.758
181.574 1 26.4644
184.072 1 165.098
185.313 0 1.63973
190.152 0 178.761
191.489 0 230.252
194.06 1 138.065
197.215 0 235.242
201.754 1 139.666
204.866 0 183.343
208.351 1 134.74
211.77 0 236.719
216.508 0 43.0655
219.631 0 295.872
224.589 0 112.076
228.318 1 89.2961
230.052 1 228.873
234.65 1 108.179
238.123 1 164.501
241.125 1 160.378
245.155 1 9.39437
249.568 0 198.975
251.784 1 255.5
255.243 1 293.34
258.701 1 50.0377
261.484 0 260.304
265.087 1 22.1795
268.15 0 190.855
272.675 1 119.97
275.154 0 83.9061
277.002 0 198.138
279.12 0 163.003
281.369 0 65.7972
283.554 1 95.4134
284.736 1 158.768
286.756 0 121.446
289.076 0 136.336
291.466 1 287.947
294.436 0 78.6376
295.702 1 9.22944
299.032 0 154.161
301.223 0 1.60565
302.399 0 217.268
305.707 1 289.973
308.26 1 51.9867
313.258 1 111.365
317.093 0 193.432
321.082 1 54.3829
324.832 1 142.453
326.629 0 51.6058
329.979 1 44.966
332.427 0 73.2899
335.282 1 229.922
339.847 1 51.03
341.732 1 213.753
342.778 0 257.078
344.984 0 289.963
349.168 0 287.962
351.598 1 161.83
354.087 0 147.986
355.842 0 224.502
357.763 1 149.468
360.717 1 171.585
364.481 0 242.74
367.093 1 242.547
370.307 1 258.946
372.525 0 19.8779
374.087 1 81.4277
378.676 1 27.9738
380.535 1 77.8709
385.396 0 166.67
388.069 1 184.035
391.088 1 256.974
394.082 0 127.39
397.043 0 164.515
399.303 0 280.556
400.556 1 90.7562
402.584 0 249.781
404.146 0 212.445
407.098 1 80.1453
411.34 0 117.977
413.727 1 242.43
418.545 0 270.461
421.809 1 102.898
425.876 0 95.1736
429.122 0 116.073
431.397 1 83.9967
433.604 0 214.158
437.649 0 16.1002
441.811 0 111.338
443.581 1 253.833
448.214 0 54.6135
451.822 1 227.214
455.408 1 206.985
458.643 0 238.666
461.084 0 208.835
464.209 0 182.08
467.681 0 92.2433
472.071 0 72.1831
474.075 1 23.4852
478.714 0 273.553
481.329 0 178.524
485.278 0 22.3288
489.913 0 128.37
493.186 1 21.6566
494.675 0 251.043
496.133 0 272.438
500.046 1 235.257
503.988 1 181.997
508.808 1 103.419
510.023 1 283.945
513.228 0 241.499
516.63 1 277.124
518.07 0 169.483
521.211 0 122.785
524.797 1 207.328
529.124 1 231.447
532.448 1 43.6788
533.462 1 251.727
536.719 1 121.455
541.143 0 13.8078
545.892 0 110.681
547.912 1 203.64
551.052 0 261.369
554.26 0 205.668
557.308 0 163.473
561.086 0 266.476
564.566 0 85.1893
566.934 1 263.571
569.204 0 213.765
572.875 0 29.6732
576.832 1 12.1606
579.215 1 277.719
582.426 1 13.6902
584.72 0 27.7024
589.564 1 65.9784
592.493 1 133.472
594.774 0 263.908
596.759 1 236.819
599.944 1 161.151
601.841 1 227.897
603.086 0 155.97
608.033 1 234.415
610.828 0 295.234
612.313 0 41.3741
615.147 1 178.214
617.471 0 270.039
621.991 0 291.012
626.148 1 134.271
628.255 0 205.53
632.306 1 140.707
633.38 1 229.225
637.081 0 7.3116
641.198 0 262.284
646.061 1 298.331
647.86 1 235.12
648.992 0 241.585
651.853 1 244.041
654.785 1 167.737
657.332 1 129.379
659.342 1 288.148
663.457 0 88.742
664.609 1 48.3104
667.024 1 155.912
670.769 0 99.0549
674.702 1 91.8176
679.399 0 94.572
683.382 0 127.228
685.923 1 215.197
687.463 1 219.119
690.971 1 61.5895
695.085 0 254.857
698.057 1 265.444
701.397 1 121.411
703.975 1 144.718
707.039 1 34.272
709.002 0 129.675
713.606 1 41.4743
714.971 0 176.921
718.483 0 165.002
722.242 1 43.2367
723.868 0 72.395
725.519 0 279.559
730.506 1 294.837
734.627 1 155.395
738.314 0 295.152
741.215 1 171.173
744.453 1 235.859
747.76 0 199.611
748.962 0 167.591
750.751 0 80.7879
755.492 1 210.895
757.941 0 127.604
761.014 1 216.524
765.126 0 185.035
768.969 1 86.0989
771.836 1 105.485
773.539 1 151.718
778.311 1 122.674
780.733 0 219.49
783.621 0 139.992
788.015 1 105.866
791.483 0 280.398
793.214 1 149.647
796.369 1 10.8395
797.709 1 260.662
801.933 1 210.742
805.901 1 3.55884
810.238 1 226.011
811.437 0 222.514
814.185 1 107.024
817.816 0 202.247
819.833 1 129.345
822.335 1 147.57
826.506 1 186.038
827.924 1 252.014
831.542 1 116.043
835.191 0 70.9682
840.046 0 254.428
842.565 1 239.321
844.325 1 194.24
846.043 0 116.276
850.037 1 287.524
853.893 1 83.9403
855.413 1 270.243
857.759 0 186.764
862.411 1 246.558
867.257 1 252.578
869.74 1 239.676
871.216 0 18.6136
872.499 1 25.0031
874.42 0 143.008
876.947 1 249.515
878.818 0 125.393
880.583 0 290.141
884.807 0 296.919
889.161 0 55.9192
890.353 0 128.228
893.569 0 12.8965
897.41 1 187.209
902.098 1 195.577
904.269 0 239.347
907.789 0 54.9044
908.816 1 46.9015
910.448 0 284.724
912.716 1 18.8725
916.226 1 279.811
917.895 1 287.047
922.393 1 43.8471
925.255 1 102.363
929.03 0 232.648
930.396 1 63.2057
933.908 1 290.854
938.484 1 297.778
939.977 0 258.875
942.267 0 289.636
944.946 1 93.3805
949.037 0 19.3388
953.383 1 58.5259
956.668 1 183.602
958.478 0 290.272
960.306 0 129.405
964.153 0 178.936
968.875 1 33.7641
972.655 0 207.395
975.986 0 233.723
978.981 0 139.629
981.794 0 198.744
984.018 1 73.6066
986.078 1 9.47857
989.424 1 281.497
994.189 0 156.657
997.538 1 184.323
1001.45 0 130.592
1004.38 1 230.964
1007.15 0 250.3
1009.42 0 217.775
1010.78 0 88.9744
1012.2 1 134.852
1016.79 1 184.995
1019.73 0 210.448
1021.66 1 3.87984
1026.17 1 253.072
1027.67 0 51.1127
1032.15 0 110.762
1036.38 0 247.017
1040.54 0 12.038
1043.35 1 103.522
1047.78 1 125.397
1050.52 1 10.0326
1054.43 1 201.282
1055.5 1 120.805
1057.77 1 139.708
1062.25 0 104.992
1065.13 1 212.125
1068.15 1 235.967
1071.84 0 96.712
1072.99 1 87.5098
1077.1 0 56.1912
1079.44 1 22.0564
1082.81 1 210.475
1086.71 1 125.211
1091.65 0 225.984
1094.59 0 16.8746
1096.87 0 210.368
1100.67 0 134.767
1102.11 0 218.575
1103.21 1 296.124
1104.62 0 243.864
1107.77 1 138.518
1108.79 1 185.247
1112.46 0 70.5559
1116.6 1 91.4487
1118.35 1 127.884
1120.32 0 174.393
1123.51 0 32.5772
1128.42 0 86.1926
1132.36 1 69.4808
1134.78 0 4.35067
1137.15 0 241.044
1138.35 1 122.17
1139.6 1 198.762
1142.06 0 180.496
1145.45 0 93.0192
1148.3 1 262.862
1151.2 0 232.467
1155.98 0 285.177
1160.02 0 85.5712
1164.26 1 21.4623
1166.06 0 95.982
1167.08 0 293.249
1170.16 0 98.3871
1171.94 0 15.492
1175.36 0 255.398
1179.92 1 218.415
1181.21 0 125.897
1184.48 0 124.308
1186.34 1 233.102
1189.81 0 141.784
1193.18 0 267.064
1196.72 0 252.154
1199.97 0 281.247
1204.53 1 246.636
1207.12 0 106.495
1211.82 1 72.8012
1216.81 1 14.925
1220.75 1 266.191
1224.05 0 169.607
1227.16 1 5.80477
1228.47 0 79.0214
1232.02 1 221.423
1233.5 1 296.116
1237.19 0 161.027
1239.22 1 203.37
1241.69 1 88.3853
1246.64 1 284.548
1249.42 1 226.145
1252.55 0 135.266
1254.18 1 108.46
1256.71 0 56.5827
1259.07 0 56.2773
1260.78 0 186.791
1263.61 1 231.005
1267.6 1 94.936
1269.44 0 158.221
1272.51 1 269.804
1276.23 1 92.8112
1280.31 1 30.4307
1282.59 1 33.551
1286.44 1 148.579
1289.59 1 224.453
1292.31 0 97.4559
1296.72 0 193.079
1301.26 0 61.5915
1305.83 0 147.334
1309.04 1 154.191
1313.94 1 243.861
1316.48 1 3.44584
1319.41 1 161.885
1322.28 1 72.6318
1325.18 0 292.476
1326.41 1 62.2225
1328.84 1 61.4016
1330.71 1 117.081
1335.71 1 68.2596
1339.54 1 262.92
1343.27 0 193.729
1346.08 1 242.672
1349.23 1 101.757
1352.68 1 21.1537
1357.09 0 299.987
1359.12 1 45.5773
1363 0 294.884
1365.81 1 233.175
1369.7 0 133.883
1372.58 0 48.1725
1375.98 1 78.1828
1378.97 1 250.527
1380.24 0 61.6727
1383.06 0 84.7635
1385.68 1 102.298
1386.87 0 10.2447
1390.47 1 110.066
1394.11 0 181.021
1395.45 0 39.3224
1396.97 0 284.519
1401.23 0 22.6637
1405.15 0 268.314
1409.73 0 144.813
1414.08 0 22.2872
1417.36 0 259.675
1419.62 0 186.26
1422.98 0 292.263
1424.37 1 191.071
1425.49 1 189.137
1427.72 1 38.5431
1430.01 0 102.316
1431.08 1 266.165
1432.54 1 170.885
1435.07 1 100.684
1437.25 1 205.988
1440.34 0 258.313
1444.27 1 8.17329
1446.14 1 102.21
1447.47 0 73.0502
1452.43 1 81.2793
1455.64 0 211.02
1458.09 1 160.104
1460.48 0 129.926
1461.62 1 299.243
1464.35 1 84.1632
1468 0 197.092
1470.94 0 109.093
1475.79 1 46.8126
1477.42 0 224.928
